Id,Code,Name,Standard Class,Domain,Vocab,Validity,Concept
586307,OMOP4912984,Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in Saliva,Procedure,Measurement,OMOP Extension,Valid,Standard
586308,OMOP4912983,Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) using Nucleic acid amplification technique in Saliva,Procedure,Measurement,OMOP Extension,Valid,Standard
586309,OMOP4912986,Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in Specified specimen,Procedure,Measurement,OMOP Extension,Valid,Standard
586310,OMOP4912985,Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) Genetic material using Molecular method,Procedure,Measurement,OMOP Extension,Valid,Standard
704991,OMOP4912972,Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in Blood,Procedure,Measurement,OMOP Extension,Valid,Standard
704992,OMOP4912974,Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) using Culture method,Procedure,Measurement,OMOP Extension,Valid,Standard
704993,OMOP4912975,Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) using Sequencing,Procedure,Measurement,OMOP Extension,Valid,Standard
705000,OMOP4912973,Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) using Nucleic acid amplification technique in Blood,Procedure,Measurement,OMOP Extension,Valid,Standard
705001,OMOP4912982,Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) using Nucleic acid amplification technique,Procedure,Measurement,OMOP Extension,Valid,Standard
705104,OMOP4912990,Measurement of Coronavirus (Coronavirinae subfamily species),Procedure,Measurement,OMOP Extension,Valid,Standard
705105,OMOP4912991,Measurement of Coronavirus (Coronavirinae subfamily species) antigen,Procedure,Measurement,OMOP Extension,Valid,Standard
705106,OMOP4912992,Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) using Nucleic acid amplification technique in Sample from nose,Procedure,Measurement,OMOP Extension,Valid,Standard
705107,OMOP4912993,Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in Sample from nose,Procedure,Measurement,OMOP Extension,Valid,Standard
756029,OMOP4873967,Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in Respiratory specimen,Procedure,Measurement,OMOP Extension,Valid,Standard
756055,OMOP4873969,Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Procedure,Measurement,OMOP Extension,Valid,Standard
756065,OMOP4873966,Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in Unspecified specimen,Procedure,Measurement,OMOP Extension,Valid,Standard
756084,OMOP4873968,Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) using Nucleic acid amplification technique in Unspecified specimen,Procedure,Measurement,OMOP Extension,Valid,Standard
756085,OMOP4873965,Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) using Nucleic acid amplification technique in Respiratory specimen,Procedure,Measurement,OMOP Extension,Valid,Standard
763562,442661000124100,Measurement of wound size,Procedure,Measurement,SNOMED,Valid,Standard
764340,453741000124101,Education about point of care laboratory measurement device,Procedure,Procedure,SNOMED,Valid,Standard
765403,448651000124104,Microscopic examination of cervical Papanicolaou smear and Human papillomavirus deoxyribonucleic acid detection cotesting,Procedure,Measurement,SNOMED,Valid,Standard
3193063,27360001000004109,Court appointed drug screen,Procedure,Measurement,Nebraska Lexicon,Valid,Standard
3198510,6260001000004100,Clonidine suppression test,Procedure,Measurement,Nebraska Lexicon,Valid,Standard
4000494,11913007,Mephenytoin measurement,Procedure,Measurement,SNOMED,Valid,Standard
4001035,11921001,"Heinz body determination, induced",Procedure,Measurement,SNOMED,Valid,Standard
4001671,10967009,"Eosinophil count, nasal",Procedure,Measurement,SNOMED,Valid,Standard
4003354,11017006,Thromboxane B2 assay,Procedure,Measurement,SNOMED,Valid,Standard
4003905,10071009,Anti-streptokinase assay,Procedure,Measurement,SNOMED,Valid,Standard
4003907,10072002,Fluorescent antibody measurement,Procedure,Measurement,SNOMED,Valid,Standard
4003956,205408000,"Bacterial endotoxin measurement, chemical method",Procedure,Measurement,SNOMED,Valid,Standard
4004223,121239002,Environmental culture for fungus,Procedure,Measurement,SNOMED,Valid,Standard
4004224,121240000,Malaria thick smear,Procedure,Measurement,SNOMED,Valid,Standard
4004226,121242008,Qualitative assay for immune complex with polyethylene glycol,Procedure,Measurement,SNOMED,Valid,Standard
4004231,121262000,Tetracarboxylporphyrin measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004232,121265003,Tricarboxylporphyrin measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004234,121271009,Uroporphyrin I measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004235,121275000,Carbohydrate deficient transferrin measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004237,121285004,Sulfasalazine measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004361,121291002,3-Hydroxyglutarate measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004362,121292009,3-Hydroxyisobutyrate measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004363,121296007,3-Hydroxypalmitoylcarnitine measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004364,121300008,3-Hydroxyvalerate measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004365,121301007,3-Methoxy-o-desmethylencainide measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004366,121303005,3-Methylcrotonylglycine measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004367,121305003,3-Methylglutarate measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004368,121309009,4-Hydroxyphenylacetate measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004370,121317001,6-beta-Naltrexol measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004371,121319003,7-Aminoflunitrazepam measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004377,121351002,"1,2-Dimethylbenzene measurement",Procedure,Measurement,SNOMED,Valid,Standard
4004378,121354005,"1,4-Dichlorobenzene measurement",Procedure,Measurement,SNOMED,Valid,Standard
4004379,121359000,Acetophenazine measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004380,121361009,1-Pentanol measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004381,121377005,Metolazone measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004382,121388004,n-Butyl acetate measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004383,121389007,N-Desalkylflurazepam measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004384,121392006,n-Propanol measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004385,121393001,Nabumetone measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004386,121395008,Nalidixate measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004387,121397000,Naphthalene measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004388,121399002,Nefazodone measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004389,121401008,Neostigmine measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004390,121405004,Nitrophenol measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004391,121406003,Nitroprusside measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004393,121412008,Novobiocin measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004394,121419004,Oxychlordane measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004396,121421009,Oxytetracycline measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004397,121422002,Papaverine measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004398,121423007,Paramethadione measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004399,121426004,Pentane measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004423,10110004,Platelet adhesiveness test,Procedure,Measurement,SNOMED,Valid,Standard
4004523,121430001,Phenazopyridine measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004524,121432009,Phenethylamine measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004525,121433004,Phenylethylmalonamide measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004526,121435006,Aldrin measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004527,121437003,Allopurinol measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004528,121441004,Amphotericin B measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004529,121445008,Arsenate measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004531,121452005,Bacitracin measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004532,121459001,Benzyl alcohol measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004533,121465001,Bromocriptine measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004534,121476002,Captopril measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004535,121479009,Carbaryl measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004536,121480007,Carbidopa measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004537,121482004,Carbofuran measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004538,121484003,Carbophenothion measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004539,121485002,Cefaclor measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004540,121486001,Cefadroxil measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004541,121503009,Clarithromycin measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004542,121504003,Cloxacillin measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004543,121506001,Colchicine measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004544,121508000,Coumaphos measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004545,121510003,Cumene measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004546,121512006,Cyclohexanone measurement,Procedure,Measurement,SNOMED,Valid,Standard
4004547,121515008,Cyproheptadine measurement,Procedure,Measurement,SNOMED,Valid,Standard
