Id,Code,Name,Standard Class,Domain,Vocab,Validity,Concept
8715,32485007,Hospital admission,Procedure,Observation,SNOMED,Valid,Standard
506639,1.05276E+15,Referral from health visitor,Procedure,Observation,SNOMED,Valid,Standard
506640,1.05277E+15,Discharge by health visitor,Procedure,Observation,SNOMED,Valid,Standard
506641,1.05278E+15,Referral to health visitor,Procedure,Observation,SNOMED,Valid,Standard
506642,1.05279E+15,First annual visit by health visitor,Procedure,Observation,SNOMED,Valid,Standard
506644,1.05283E+15,Health visitor initial visit,Procedure,Observation,SNOMED,Valid,Standard
506646,1.05286E+15,Accident and emergency attendance follow-up visit by health visitor,Procedure,Observation,SNOMED,Valid,Standard
506648,1.05288E+15,Health visitor child 4 month contact,Procedure,Observation,SNOMED,Valid,Standard
506703,1.05365E+15,Child in Need meeting,Procedure,Observation,SNOMED,Valid,Standard
506751,1.05433E+15,Provision of information about infant safe sleeping,Procedure,Observation,SNOMED,Valid,Standard
506760,1.05446E+15,Discharge from leg ulcer service,Procedure,Observation,SNOMED,Valid,Standard
507324,1.06058E+15,Referral for Early Help Assessment,Procedure,Observation,SNOMED,Valid,Standard
507342,1.06077E+15,Referral to Identification and Referral to Improve Safety advocate educator,Procedure,Observation,SNOMED,Valid,Standard
507648,1.05424E+15,Referral to hospital diabetes antenatal clinic,Procedure,Observation,SNOMED,Valid,Standard
507692,1.05423E+15,Referral to community diabetes antenatal clinic,Procedure,Observation,SNOMED,Valid,Standard
703452,1.23978E+15,Major incident survivor annual review,Procedure,Observation,SNOMED,Valid,Standard
703453,1.23977E+15,Major incident survivor monitoring,Procedure,Observation,SNOMED,Valid,Standard
761971,2.51E+11,Dialysis care plan,Procedure,Observation,SNOMED,Valid,Standard
762179,3.01E+11,Hemodialysis care plan,Procedure,Observation,SNOMED,Valid,Standard
762463,4.031E+12,Notification of epilepsy to Department of Motor Vehicles,Procedure,Observation,SNOMED,Valid,Standard
762473,4.141E+12,Encounter for blood donation,Procedure,Observation,SNOMED,Valid,Standard
762508,4.28231E+14,Maternal postpartum depression care,Procedure,Observation,SNOMED,Valid,Standard
762516,4.28361E+14,Discharge to home for hospice care,Procedure,Observation,SNOMED,Valid,Standard
762522,4.28431E+14,Chronic wound care,Procedure,Observation,SNOMED,Valid,Standard
762523,4.28441E+14,Referral to nurse anesthetist,Procedure,Observation,SNOMED,Valid,Standard
762524,4.28451E+14,Referral to physician assistant,Procedure,Observation,SNOMED,Valid,Standard
762525,4.28461E+14,Referral to nutrition professional,Procedure,Observation,SNOMED,Valid,Standard
762526,4.28481E+14,Referral to clinical social worker,Procedure,Observation,SNOMED,Valid,Standard
762527,4.28491E+14,Referral to anesthesiologist assistant,Procedure,Observation,SNOMED,Valid,Standard
762529,4.28541E+14,Referral to nurse midwife,Procedure,Observation,SNOMED,Valid,Standard
762560,4.28921E+14,Consultation for transition of care,Procedure,Observation,SNOMED,Valid,Standard
762561,4.28931E+14,Pharmacogenetic consultation,Procedure,Observation,SNOMED,Valid,Standard
762573,4.29101E+14,Documentation of medication therapy management plan,Procedure,Observation,SNOMED,Valid,Standard
762574,4.29111E+14,Documentation of care summary,Procedure,Observation,SNOMED,Valid,Standard
762602,4.29471E+14,Lensometry measurement,Procedure,Observation,SNOMED,Valid,Standard
762603,4.29481E+14,Keratometry measurement,Procedure,Observation,SNOMED,Valid,Standard
762608,4.29551E+14,Referral for balance AND/OR gait assessment,Procedure,Observation,SNOMED,Valid,Standard
762710,4.30881E+14,Referral for safety counseling associated with dementia,Procedure,Observation,SNOMED,Valid,Standard
762711,4.30901E+14,Acute dialysis program,Procedure,Observation,SNOMED,Valid,Standard
762712,4.30911E+14,Navy dialysis program,Procedure,Observation,SNOMED,Valid,Standard
762713,4.30921E+14,Army dialysis program,Procedure,Observation,SNOMED,Valid,Standard
762714,4.30941E+14,Prison dialysis program,Procedure,Observation,SNOMED,Valid,Standard
762715,4.30951E+14,Veteran's administration dialysis program,Procedure,Observation,SNOMED,Valid,Standard
762765,4.31551E+14,Documentation of personal medication record,Procedure,Observation,SNOMED,Valid,Standard
762766,4.31561E+14,Monitoring of laboratory results,Procedure,Observation,SNOMED,Valid,Standard
762818,4.32351E+14,Documentation of medication related action plan,Procedure,Observation,SNOMED,Valid,Standard
762824,4.32421E+14,Discharge to healthcare facility,Procedure,Observation,SNOMED,Valid,Standard
762836,4.32601E+14,Durable medical equipment supplier dialysis program,Procedure,Observation,SNOMED,Valid,Standard
762837,4.32611E+14,Centers for Medicare and Medicaid Services approved special purpose dialysis program,Procedure,Observation,SNOMED,Valid,Standard
762839,4.32661E+14,"Hospital admission, transfer from emergency department",Procedure,Observation,SNOMED,Valid,Standard
762859,4.32921E+14,Documentation of mental health medication action plan,Procedure,Observation,SNOMED,Valid,Standard
762860,4.32931E+14,Documentation of depression medication action plan,Procedure,Observation,SNOMED,Valid,Standard
762861,4.32941E+14,Documentation of pulmonary disorder medication action plan,Procedure,Observation,SNOMED,Valid,Standard
762862,4.32951E+14,Documentation of chronic obstructive pulmonary disorder medication action plan,Procedure,Observation,SNOMED,Valid,Standard
762863,4.32971E+14,Documentation of cardiovascular disorder medication action plan,Procedure,Observation,SNOMED,Valid,Standard
762864,4.32981E+14,Documentation of hypertension medication action plan,Procedure,Observation,SNOMED,Valid,Standard
762865,4.32991E+14,Documentation of heart failure medication action plan,Procedure,Observation,SNOMED,Valid,Standard
762866,4.33001E+14,Documentation of coronary heart disease medication action plan,Procedure,Observation,SNOMED,Valid,Standard
762867,4.33011E+14,Documentation of metabolic disorder medication action plan,Procedure,Observation,SNOMED,Valid,Standard
762868,4.33021E+14,Documentation of gout medication action plan,Procedure,Observation,SNOMED,Valid,Standard
762869,4.33031E+14,Documentation of dyslipidemia medication action plan,Procedure,Observation,SNOMED,Valid,Standard
762870,4.33041E+14,Documentation of endocrine disorder medication action plan,Procedure,Observation,SNOMED,Valid,Standard
