Id,Code,Name,Standard Class,Domain,Vocab,Validity,Concept
759813,1.021E+12,Physical object specimen,Specimen,Specimen,SNOMED,Valid,Standard
759820,1.031E+12,Paper specimen,Specimen,Specimen,SNOMED,Valid,Standard
759825,1.041E+12,Writing paper specimen,Specimen,Specimen,SNOMED,Valid,Standard
759826,1.051E+12,Envelope specimen,Specimen,Specimen,SNOMED,Valid,Standard
759829,1.061E+12,Package specimen,Specimen,Specimen,SNOMED,Valid,Standard
759869,1.071E+12,Clothing specimen,Specimen,Specimen,SNOMED,Valid,Standard
759936,1.081E+12,Surface wipe specimen,Specimen,Specimen,SNOMED,Valid,Standard
762633,4.29881E+14,Acute phase serum specimen,Specimen,Specimen,SNOMED,Valid,Standard
762634,4.29891E+14,Convalescent phase serum specimen,Specimen,Specimen,SNOMED,Valid,Standard
762635,4.29901E+14,Bloody stool specimen,Specimen,Specimen,SNOMED,Valid,Standard
762636,4.29911E+14,Fluid feces specimen,Specimen,Specimen,SNOMED,Valid,Standard
762637,4.29921E+14,Bloody fluid feces specimen,Specimen,Specimen,SNOMED,Valid,Standard
762638,4.29931E+14,Nasal aspirate specimen,Specimen,Specimen,SNOMED,Valid,Standard
762639,4.29951E+14,Bacterial isolate specimen,Specimen,Specimen,SNOMED,Valid,Standard
762922,4.33771E+14,Popliteal cyst fluid,Specimen,Specimen,SNOMED,Valid,Standard
762923,4.33781E+14,Tissue specimen from mass,Specimen,Specimen,SNOMED,Valid,Standard
762924,4.33801E+14,Nasopharyngeal and oropharyngeal swab,Specimen,Specimen,SNOMED,Valid,Standard
762931,4.33871E+14,Nasal washings,Specimen,Specimen,SNOMED,Valid,Standard
762932,4.33881E+14,Nasal and throat swab,Specimen,Specimen,SNOMED,Valid,Standard
763036,4.35291E+14,Grain specimen,Specimen,Specimen,SNOMED,Valid,Standard
763054,4.35541E+14,Scab specimen,Specimen,Specimen,SNOMED,Valid,Standard
763090,4.35971E+14,Body fluid specimen from peritoneal dialysis insertion site,Specimen,Specimen,SNOMED,Valid,Standard
763155,4.36651E+14,Swab of fluid from vesicle,Specimen,Specimen,SNOMED,Valid,Standard
763166,4.36761E+14,Vegetable AND/OR fruit specimen,Specimen,Specimen,SNOMED,Valid,Standard
763268,4.37921E+14,First void urine specimen,Specimen,Specimen,SNOMED,Valid,Standard
